led,t,deltat,AcX,AcY,AcZ,GravX,GravY,GravZ,QuatW,QuatX,QuatY,QuatZ,OrX,OrY,OrZ,GyX,GyY,GyZ
0,2050,50,0.20,0.74,-0.27,-2.56,2.43,9.14,0.98309,0.12616,0.13275,-0.00049,0.06,-15.13,-14.88,0.05,-0.07,0.01
0,2100,50,0.27,0.18,-0.31,-2.55,2.42,9.15,0.98315,0.12610,0.13251,-0.00049,0.00,-15.13,-14.81,0.03,-0.05,0.01
0,2150,50,-0.12,0.46,-0.67,-2.55,2.42,9.15,0.98315,0.12585,0.13257,-0.00049,0.00,-15.06,-14.81,0.02,-0.06,0.01
0,2200,50,0.20,0.18,-0.12,-2.55,2.42,9.15,0.98315,0.12579,0.13251,-0.00037,0.00,-15.06,-14.81,0.02,-0.01,0.01
0,2250,50,0.26,-0.01,-0.35,-2.55,2.42,9.15,0.98315,0.12592,0.13245,-0.00018,0.00,-15.06,-14.81,0.00,0.01,0.02
0,2300,50,0.52,-0.01,0.41,-2.55,2.42,9.15,0.98315,0.12592,0.13263,0.00018,359.94,-15.06,-14.81,-0.01,0.00,0.02
0,2350,50,0.23,-0.21,0.26,-2.55,2.43,9.15,0.98315,0.12598,0.13245,0.00055,359.94,-15.06,-14.81,-0.02,0.01,0.02
0,2400,50,0.24,-0.19,0.22,-2.54,2.43,9.15,0.98322,0.12592,0.13214,0.00098,359.88,-15.00,-14.88,-0.01,-0.01,0.02
0,2450,50,0.25,-0.03,-0.16,-2.53,2.43,9.15,0.98328,0.12592,0.13171,0.00122,359.81,-15.00,-14.81,0.00,-0.01,0.02
0,2500,50,0.16,0.27,-0.12,-2.53,2.43,9.15,0.98328,0.12604,0.13147,0.00140,359.81,-14.94,-14.81,-0.01,-0.01,0.01
0,2550,50,0.08,0.19,-1.07,-2.53,2.44,9.15,0.98322,0.12640,0.13147,0.00165,359.81,-14.94,-14.88,-0.01,-0.01,0.01
0,2600,50,0.31,0.07,-0.10,-2.54,2.44,9.15,0.98315,0.12640,0.13196,0.00183,359.75,-15.00,-14.88,0.02,0.02,0.01
0,2650,50,-0.11,-0.12,0.36,-2.54,2.44,9.15,0.98315,0.12646,0.13208,0.00214,359.75,-15.00,-14.94,-0.00,0.01,0.02
0,2700,50,-0.44,-0.09,-0.71,-2.53,2.44,9.15,0.98309,0.12665,0.13196,0.00232,359.69,-15.00,-14.94,0.00,-0.02,0.02
0,2750,50,-0.41,-0.23,-0.91,-2.53,2.44,9.15,0.98315,0.12653,0.13190,0.00256,359.69,-14.94,-14.94,-0.00,0.01,0.01
0,2800,50,-0.07,0.01,0.53,-2.53,2.43,9.15,0.98328,0.12585,0.13184,0.00293,359.63,-14.94,-14.88,0.01,-0.00,0.01
0,2850,50,0.03,0.10,0.61,-2.53,2.43,9.15,0.98328,0.12573,0.13184,0.00317,359.63,-14.94,-14.88,0.01,0.02,0.01
0,2900,50,0.25,0.07,-0.07,-2.54,2.43,9.15,0.98322,0.12573,0.13239,0.00336,359.56,-15.00,-14.88,-0.01,0.06,0.01
0,2950,50,0.14,-0.34,-1.07,-2.54,2.43,9.15,0.98315,0.12585,0.13239,0.00336,359.56,-15.00,-14.88,-0.07,0.05,0.01
0,3000,50,1.07,-0.48,0.91,-2.53,2.43,9.15,0.98322,0.12592,0.13190,0.00360,359.56,-15.00,-14.94,0.03,0.04,0.00
0,3050,50,0.15,0.28,-0.98,-2.52,2.43,9.15,0.98334,0.12555,0.13159,0.00378,359.56,-14.94,-14.81,-0.06,0.01,0.01
0,3100,50,0.34,-0.34,-0.24,-2.52,2.43,9.15,0.98334,0.12549,0.13129,0.00391,359.50,-14.88,-14.81,-0.02,0.01,0.00
0,3150,50,-0.58,0.15,-0.76,-2.51,2.43,9.15,0.98334,0.12573,0.13110,0.00391,359.50,-14.88,-14.81,-0.03,-0.03,0.01
0,3200,50,0.03,0.28,-0.44,-2.52,2.43,9.15,0.98334,0.12585,0.13129,0.00391,359.50,-14.88,-14.88,-0.03,0.01,0.01
0,3250,50,0.92,0.49,0.61,-2.53,2.44,9.15,0.98322,0.12604,0.13184,0.00403,359.50,-14.88,-14.88,-0.01,0.05,-0.00
0,3300,50,0.59,0.08,1.09,-2.52,2.44,9.15,0.98322,0.12622,0.13171,0.00403,359.50,-14.94,-14.88,-0.01,0.02,-0.00
0,3350,50,0.92,-0.29,2.03,-2.52,2.43,9.15,0.98334,0.12549,0.13171,0.00409,359.50,-14.94,-14.88,0.05,0.02,-0.01
0,3400,50,0.43,-0.30,1.35,-2.52,2.43,9.15,0.98334,0.12555,0.13159,0.00403,359.50,-14.94,-14.88,0.07,0.01,-0.01
0,3450,50,-0.22,0.21,-1.39,-2.52,2.43,9.15,0.98328,0.12579,0.13159,0.00397,359.50,-14.88,-14.81,-0.04,-0.02,0.00
0,3500,50,-0.19,0.06,-1.33,-2.53,2.43,9.15,0.98328,0.12555,0.13190,0.00409,359.50,-14.88,-14.81,-0.06,-0.01,0.01
0,3550,50,0.31,-0.28,0.47,-2.53,2.42,9.15,0.98328,0.12543,0.13208,0.00415,359.50,-14.94,-14.81,0.03,0.01,0.00
0,3600,50,0.29,-0.58,0.89,-2.53,2.43,9.15,0.98322,0.12549,0.13220,0.00415,359.50,-14.94,-14.88,0.06,0.04,0.00
0,3650,50,0.09,0.40,0.08,-2.53,2.42,9.15,0.98328,0.12531,0.13214,0.00421,359.50,-14.94,-14.81,-0.07,0.01,0.00
0,3700,50,-0.21,0.47,-1.09,-2.53,2.42,9.15,0.98322,0.12543,0.13226,0.00421,359.50,-14.94,-14.81,-0.11,0.02,0.00
0,3750,50,0.15,-0.37,-0.13,-2.53,2.43,9.15,0.98328,0.12555,0.13202,0.00415,359.50,-14.94,-14.81,-0.01,0.02,0.00
0,3800,50,-0.11,-0.24,-0.55,-2.53,2.42,9.15,0.98334,0.12494,0.13184,0.00421,359.50,-14.94,-14.81,0.01,0.01,-0.00
0,3850,50,-0.48,0.78,-1.71,-2.53,2.41,9.16,0.98340,0.12445,0.13184,0.00427,359.50,-14.94,-14.75,-0.11,0.01,0.01
0,3900,50,-0.29,-0.06,-1.16,-2.52,2.41,9.16,0.98346,0.12463,0.13141,0.00427,359.44,-14.88,-14.69,-0.09,-0.01,0.00
0,3950,50,0.19,-0.99,-0.02,-2.51,2.40,9.16,0.98358,0.12402,0.13092,0.00433,359.50,-14.81,-14.69,0.04,-0.01,0.00
0,4000,50,0.01,-0.09,-0.39,-2.50,2.39,9.17,0.98364,0.12384,0.13062,0.00433,359.50,-14.75,-14.69,0.00,-0.00,0.00
0,4050,50,0.67,0.17,0.59,-2.51,2.39,9.17,0.98364,0.12366,0.13074,0.00433,359.44,-14.81,-14.63,0.00,0.05,0.00
0,4100,50,0.45,-0.77,0.53,-2.51,2.40,9.16,0.98358,0.12408,0.13086,0.00427,359.44,-14.81,-14.63,0.09,-0.00,0.00
0,4150,50,0.07,0.25,0.81,-2.51,2.40,9.16,0.98364,0.12408,0.13068,0.00427,359.50,-14.75,-14.69,-0.01,-0.02,0.00
0,4200,50,-0.10,-0.34,0.64,-2.50,2.39,9.17,0.98370,0.12354,0.13049,0.00433,359.44,-14.75,-14.63,-0.02,0.02,0.01
0,4250,50,-0.67,0.18,-1.19,-2.51,2.39,9.16,0.98364,0.12378,0.13092,0.00439,359.44,-14.75,-14.63,0.00,-0.02,0.01
0,4300,50,0.32,-0.87,0.64,-2.51,2.39,9.16,0.98358,0.12372,0.13116,0.00439,359.44,-14.81,-14.63,-0.00,0.03,-0.00
0,4350,50,-0.17,-0.44,0.60,-2.52,2.39,9.17,0.98364,0.12335,0.13116,0.00446,359.44,-14.81,-14.63,-0.01,0.03,0.00
0,4400,50,-0.56,0.34,-1.09,-2.51,2.38,9.17,0.98370,0.12317,0.13092,0.00452,359.44,-14.81,-14.63,0.09,0.00,-0.01
0,4450,50,-0.57,-0.44,-0.04,-2.51,2.38,9.17,0.98376,0.12280,0.13086,0.00458,359.44,-14.75,-14.56,-0.04,0.04,0.00
0,4500,50,0.02,-0.38,-0.42,-2.51,2.38,9.17,0.98370,0.12286,0.13104,0.00458,359.44,-14.81,-14.50,-0.01,0.03,0.00
0,4550,50,0.46,-0.95,1.10,-2.52,2.38,9.17,0.98364,0.12305,0.13141,0.00458,359.44,-14.81,-14.56,-0.07,0.04,0.01
0,4600,50,0.46,-0.08,0.36,-2.52,2.37,9.17,0.98370,0.12256,0.13159,0.00470,359.44,-14.88,-14.56,0.07,-0.01,0.00
0,4651,51,0.20,0.24,-0.73,-2.51,2.39,9.17,0.98364,0.12347,0.13110,0.00458,359.44,-14.88,-14.56,-0.11,0.03,0.00
0,4701,50,1.48,1.11,0.37,-2.51,2.38,9.17,0.98376,0.12311,0.13074,0.00452,359.44,-14.81,-14.56,-0.01,-0.03,0.00
0,4751,50,1.21,-0.49,0.87,-2.50,2.39,9.17,0.98376,0.12335,0.13037,0.00452,359.44,-14.81,-14.50,-0.09,-0.00,-0.00
0,4801,50,0.98,0.25,-0.52,-2.50,2.39,9.17,0.98376,0.12341,0.13013,0.00446,359.44,-14.75,-14.56,0.12,-0.07,-0.01
