led,t,deltat,AcX,AcY,AcZ,GravX,GravY,GravZ,QuatW,QuatX,QuatY,QuatZ,OrX,OrY,OrZ,GyX,GyY,GyZ
0,2050,50,-0.55,0.54,0.06,1.55,2.20,9.42,0.99011,0.11511,-0.07788,0.01837,357.94,9.19,-13.00,0.00,0.04,0.14
0,2100,50,-0.67,0.69,0.08,1.54,2.22,9.42,0.98999,0.11621,-0.07715,0.02197,357.50,9.06,-13.25,-0.00,0.07,0.14
0,2150,50,-0.67,0.56,0.12,1.54,2.22,9.42,0.98987,0.11670,-0.07672,0.02606,357.06,9.06,-13.25,-0.02,0.09,0.16
0,2200,50,-0.20,0.51,0.12,1.55,2.22,9.42,0.98969,0.11719,-0.07623,0.03070,356.50,9.06,-13.25,-0.01,0.10,0.18
0,2250,50,-0.25,0.44,0.05,1.55,2.23,9.42,0.98950,0.11774,-0.07593,0.03577,355.94,9.06,-13.25,-0.01,0.09,0.20
0,2300,50,-0.26,0.57,0.17,1.56,2.23,9.41,0.98926,0.11829,-0.07568,0.04108,355.31,9.13,-13.25,0.01,0.08,0.20
0,2350,50,-0.98,0.20,0.05,1.57,2.23,9.41,0.98889,0.11902,-0.07568,0.04639,354.75,9.19,-13.31,0.02,0.06,0.21
0,2400,50,-0.78,0.07,0.05,1.55,2.26,9.41,0.98859,0.12061,-0.07416,0.05151,354.13,9.06,-13.44,0.02,0.05,0.21
0,2450,50,-0.31,0.10,0.21,1.57,2.26,9.40,0.98822,0.12128,-0.07428,0.05688,353.50,9.19,-13.50,-0.00,0.05,0.22
0,2500,50,-0.72,-0.05,0.11,1.58,2.26,9.40,0.98779,0.12177,-0.07428,0.06244,352.88,9.31,-13.50,0.00,0.04,0.23
0,2550,50,-0.84,-0.24,-0.01,1.59,2.26,9.40,0.98737,0.12225,-0.07404,0.06812,352.19,9.38,-13.56,0.06,0.01,0.24
0,2600,50,-0.64,-0.12,-0.17,1.60,2.27,9.40,0.98694,0.12280,-0.07367,0.07379,351.56,9.38,-13.56,0.08,0.01,0.23
