Time,Data
0,1.55
1,1.54
2,1.54
3,1.55
4,1.55
5,1.56
6,1.57
7,1.55
8,1.57
9,1.58
10,1.59
11,1.6
12,1.6
13,1.61
14,1.6
15,1.6
16,1.61
17,1.61
18,1.63
19,1.65
20,1.67
21,1.69
22,1.7
23,1.71
24,1.72
25,1.73
26,1.74
27,1.74
28,1.74
29,1.75
30,1.75
31,1.75
32,1.75
33,1.75
34,1.74
35,1.74
36,1.74
37,1.75
38,1.75
39,1.75
40,1.75
41,1.76
42,1.78
43,1.79
44,1.81
45,1.81
46,1.8
47,1.79
48,1.78
49,1.78
50,1.79
51,1.79
52,1.8
53,1.8
54,1.8
55,1.81
56,1.83
57,1.83
58,1.82
59,1.82
60,1.82
61,1.82
62,1.82
63,1.82
64,1.81
65,1.83
66,1.83
67,1.83
68,1.84
69,1.84
70,1.85
71,1.85
72,1.85
73,1.85
74,1.84
75,1.85
76,1.88
77,1.85
78,1.79
79,1.76
80,1.73
81,1.73
82,1.74
83,1.77
84,1.81
85,1.84
86,1.85
87,1.85
88,1.84
89,1.83
90,1.81
91,1.79
92,1.74
93,1.74
94,1.76
95,1.79
96,1.8
97,1.79
98,1.8
99,1.79
100,1.76
101,1.74
102,1.73
103,1.72
104,1.72
105,1.73
106,1.74
107,1.75
108,1.76
109,1.76
110,1.75
111,1.75
112,1.74
113,1.74
114,1.74
115,1.74
116,1.74
117,1.74
118,1.73
119,1.73
120,1.73
121,1.73
122,1.73
123,1.73
124,1.74
125,1.75
126,1.75
127,1.76
128,1.76
129,1.76
130,1.75
131,1.75
132,1.75
133,1.74
134,1.74
135,1.74
136,1.74
137,1.74
138,1.74
139,1.74
140,1.74
141,1.73
142,1.73
143,1.73
144,1.73
145,1.73
146,1.73
147,1.73
148,1.73
149,1.73
150,1.73
151,1.73
152,1.73
153,1.72
154,1.72
155,1.72
156,1.71
157,1.71
158,1.71
159,1.72
160,1.72
161,1.72
162,1.72
163,1.72
164,1.72
165,1.72
166,1.73
167,1.72
168,1.72
169,1.72
170,1.71
171,1.7
172,1.69
173,1.69
174,1.68
175,1.67
176,1.66
177,1.65
178,1.63
179,1.62
180,1.61
181,1.61
182,1.62
183,1.62
184,1.62
185,1.61
186,1.61
187,1.61
188,1.6
189,1.58
190,1.57
191,1.57
192,1.57
193,1.57
194,1.57
195,1.55
196,1.54
197,1.53
198,1.53
199,1.55
200,1.58
201,1.61
202,1.65
203,1.66
204,1.67
205,1.65
206,1.64
207,1.63
208,1.61
209,1.62
210,1.62
211,1.62
212,1.63
213,1.63
214,1.63
215,1.63
216,1.64
217,1.64
218,1.7
219,1.7
220,1.72
221,1.72
222,1.71
223,1.7
224,1.69
225,1.69
226,1.69
227,1.7
228,1.7
229,1.73
230,1.76
231,1.77
232,1.77
233,1.77
234,1.77
235,1.78
236,1.77
237,1.76
238,1.77
239,1.76
240,1.76
241,1.76
242,1.75
243,1.74
244,1.74
245,1.74
246,1.75
247,1.75
248,1.75
249,1.76
250,1.77
251,1.78
252,1.78
253,1.79
254,1.79
255,1.79
256,1.8
257,1.83
258,1.84
259,1.85
260,1.86
261,1.86
262,1.85
263,1.84
264,1.83
265,1.82
266,1.82
267,1.82
268,1.86
269,1.86
270,1.88
271,1.9
272,1.92
273,1.99
274,2.07
275,2.08
276,2.13
277,2.14
278,2.16
279,2.16
280,2.16
281,2.16
282,2.2
283,2.28
284,2.25
285,2.28
286,2.27
287,2.22
288,2.18
289,2.19
290,2.28
291,2.27
292,2.27
293,2.26
294,2.27
295,2.28
296,2.29
297,2.28
298,2.27
299,2.26
300,2.26
301,2.23
302,2.21
303,2.19
304,2.18
305,2.17
306,2.17
307,2.17
308,2.16
309,2.15
310,2.2
311,2.21
312,2.19
313,2.18
314,2.18
315,2.18
316,2.16
317,2.16
318,2.17
319,2.17
320,2.17
321,2.16
322,2.16
323,2.16
324,2.15
325,2.14
326,2.12
327,2.12
328,2.12
329,2.12
330,2.11
331,2.09
332,2.08
333,2.07
334,2.07
335,2.07
336,2.07
337,2.06
338,2.05
339,2.04
340,2.03
341,2.03
342,2.03
343,2.02
344,2.01
345,2.0
346,1.99
347,1.99
348,1.98
349,1.98
350,1.98
351,1.98
352,1.97
353,1.97
354,1.97
355,1.97
356,1.95
357,1.95
358,1.95
359,1.92
360,1.92
361,1.9
362,1.9
363,1.88
364,1.87
365,1.87
366,1.85
367,1.85
368,1.83
369,1.82
370,1.82
371,1.82
372,1.82
373,1.81
374,1.81
375,1.81
376,1.8
377,1.8
378,1.79
379,1.79
380,1.78
381,1.78
382,1.79
383,1.78
384,1.78
385,1.77
386,1.77
387,1.77
388,1.77
389,1.77
390,1.77
391,1.77
392,1.77
393,1.76
394,1.76
395,1.76
396,1.76
397,1.76
398,1.76
399,1.76
400,1.76
401,1.75
402,1.75
403,1.75
404,1.75
405,1.75
406,1.75
407,1.75
408,1.75
409,1.74
410,1.74
411,1.74
412,1.74
413,1.74
414,1.74
415,1.74
416,1.73
417,1.74
418,1.73
419,1.73
420,1.74
421,1.73
422,1.73
423,1.73
424,1.73
425,1.73
426,1.73
427,1.73
428,1.73
429,1.73
430,1.73
431,1.73
432,1.73
433,1.73
434,1.73
435,1.73
436,1.73
437,1.73
438,1.73
439,1.73
440,1.73
441,1.73
442,1.73
443,1.73
444,1.72
445,1.73
446,1.73
447,1.73
448,1.73
449,1.72
450,1.73
451,1.72
452,1.7
453,1.7
454,1.7
455,1.69
456,1.68
457,1.67
458,1.67
459,1.66
460,1.65
461,1.65
462,1.65
463,1.64
464,1.64
465,1.64
466,1.64
467,1.64
468,1.64
469,1.64
470,1.64
471,1.64
472,1.65
473,1.66
474,1.67
475,1.69
476,1.69
477,1.71
478,1.7
479,1.7
480,1.71
481,1.71
482,1.72
483,1.73
484,1.73
485,1.73
486,1.73
487,1.74
488,1.74
489,1.74
490,1.74
491,1.75
492,1.75
493,1.73
494,1.72
495,1.71
496,1.7
497,1.69
498,1.68
499,1.67
500,1.66
501,1.66
502,1.65
503,1.64
504,1.64
505,1.64
506,1.64
507,1.65
508,1.67
509,1.69
510,1.7
511,1.71
512,1.71
513,1.7
514,1.72
515,1.72
516,1.71
517,1.69
518,1.69
519,1.68
520,1.67
521,1.67
522,1.66
523,1.66
524,1.65
525,1.64
526,1.63
527,1.62
528,1.6
529,1.58
530,1.57
531,1.57
532,1.58
533,1.6
534,1.6
535,1.6
536,1.59
537,1.58
538,1.57
539,1.57
540,1.56
541,1.55
542,1.55
543,1.53
544,1.53
545,1.53
546,1.53
547,1.54
548,1.53
549,1.51
550,1.51
551,1.49
552,1.49
553,1.49
554,1.49
555,1.49
556,1.48
557,1.48
558,1.48
559,1.45
560,1.41
561,1.39
562,1.36
563,1.34
564,1.33
565,1.35
566,1.36
567,1.37
568,1.37
569,1.38
570,1.38
571,1.39
572,1.38
573,1.34
574,1.33
575,1.31
576,1.31
577,1.32
578,1.32
579,1.33
580,1.33
581,1.34
582,1.34
583,1.38
584,1.37
585,1.36
586,1.36
587,1.37
588,1.37
589,1.38
590,1.38
591,1.38
592,1.39
593,1.4
594,1.43
595,1.43
596,1.41
597,1.42
598,1.42
599,1.42
600,1.42
601,1.43
602,1.49
603,1.49
604,1.51
605,1.52
606,1.52
607,1.52
608,1.52
609,1.58
610,1.62
611,1.68
612,1.74
613,1.78
614,1.81
615,1.82
616,1.83
617,1.85
618,1.86
619,1.86
620,1.87
621,1.88
622,1.89
623,1.9
624,1.91
625,1.92
626,1.92
627,1.93
628,1.94
629,1.93
630,1.92
631,1.89
632,1.89
633,1.88
634,1.87
635,1.87
636,1.88
637,1.89
638,1.9
639,1.92
640,1.93
641,1.93
642,1.93
643,1.93
644,1.93
645,1.93
646,1.93
647,1.94
648,1.95
649,1.96
650,1.97
651,2.0
652,2.01
653,2.06
654,2.08
655,2.08
656,2.07
657,2.1
658,2.12
659,2.16
660,2.19
661,2.27
662,2.27
663,2.23
664,2.2
665,2.16
666,2.12
667,2.08
668,2.05
669,2.02
670,1.99
671,2.09
672,2.05
673,2.05
674,2.05
675,2.0
676,2.0
677,1.95
678,1.91
679,1.87
680,1.83
681,1.96
682,1.92
683,1.93
684,2.05
685,2.06
686,2.14
687,2.12
688,2.09
689,2.06
690,2.09
691,2.05
692,2.01
693,1.95
694,1.89
695,1.84
696,1.79
697,1.74
698,1.7
699,1.69
700,1.65
701,1.61
702,1.6
703,1.57
704,1.54
705,1.57
706,1.55
707,1.59
708,1.57
709,1.55
710,1.54
711,1.53
712,1.6
713,1.65
714,1.63
715,1.61
716,1.6
717,1.59
718,1.58
719,1.58
720,1.57
721,1.56
722,1.56
723,1.55
724,1.55
725,1.55
726,1.55
727,1.55
728,1.55
729,1.55
730,1.55
731,1.53
732,1.53
733,1.52
734,1.5
735,1.5
736,1.5
737,1.51
738,1.52
